STATES,ELECTRICITY,GAS,MORTGAGE,RENT,PHONE,VET,HLTH & WELL,EAT-IN,REGION
California-San-Francisco,182.92,3.51,1146835,3593,194.98,62.84,901.42,18.87,California
California-Los-Angeles,180.74,3.42,788384,2470,192.66,54.97,824.87,16.45,California
California-San-Diego,192.64,3.36,817185,2560,205.35,52.55,806.85,16.57,California
California-San-Jose,210.75,2.91,860907,2697,224.65,55.07,871.39,17.72,California
