,INSTNM,CITY,STABBR
368,Lyle's College of Beauty,Bakersfield,California
369,Lyle's College of  Beauty,Fresno,California
370,Lytles Redwood Empire Beauty College Inc,Santa Rosa,California
371,MTI Business College Inc,Stockton,California
372,MTI College,Sacramento,California
373,Brightwood College-Sacramento,Sacramento,California
374,Brightwood College-San Diego,San Diego,California
375,Brightwood College-Vista,Vista,California
376,College of Marin,Kentfield,California
377,Marymount California University,Rancho Palos Verdes,California
378,Mendocino College,Ukiah,California
379,Menlo College,Atherton,California
380,Merced College,Merced,California
381,Merritt College,Oakland,California
382,Mills College,Oakland,California
383,MiraCosta College,Oceanside,California
384,Mission College,Santa Clara,California
385,Modern Beauty Academy,Oxnard,California
386,Brightwood College-Los Angeles-Van Nuys,Van Nuys,California
387,Modesto Junior College,Modesto,California
388,Moler Barber College,Oakland,California
389,Middlebury Institute of International Studies at Monterey,Monterey,California
390,Monterey Peninsula College,Monterey,California
391,Moorpark College,Moorpark,California
392,Mt San Antonio College,Walnut,California
393,Mount Saint Mary's University,Los Angeles,California
394,Mt San Jacinto Community College District,San Jacinto,California
395,Musicians Institute,Hollywood,California
396,Napa Valley College,Napa,California
397,National Holistic Institute,Emeryville,California
398,National University,La Jolla,California
399,Naval Postgraduate School,Monterey,California
400,Newschool of Architecture and Design,San Diego,California
401,Newberry School of Beauty,Granada Hills,California
402,North Adrian's College of Beauty Inc,Modesto,California
403,North-West College-Pomona,Pomona,California
404,North-West College-West Covina,West Covina,California
405,North-West College-Van Nuys,Van Nuys,California
406,Notre Dame de Namur University,Belmont,California
407,Occidental College,Los Angeles,California
408,Ohlone College,Fremont,California
409,Orange Coast College,Costa Mesa,California
410,Otis College of Art and Design,Los Angeles,California
411,Oxnard College,Oxnard,California
412,Hope International University,Fullerton,California
413,Concorde Career College-San Diego,San Diego,California
414,Palo Alto University,Palo Alto,California
415,Pacific Oaks College,Pasadena,California
416,Pacific School of Religion,Berkeley,California
417,Pacific States University,Los Angeles,California
418,Pacific Union College,Angwin,California
419,University of the Pacific,Stockton,California
420,Palo Verde College,Blythe,California
421,Palomar College,San Marcos,California
422,Pasadena City College,Pasadena,California
423,Pepperdine University,Malibu,California
424,Pitzer College,Claremont,California
425,Platt College-San Diego,San Diego,California
426,Point Loma Nazarene University,San Diego,California
427,Pomona College,Claremont,California
428,Porterville College,Porterville,California
429,Professional Institute of Beauty,El Monte,California
430,Santa Ana College,Santa Ana,California
431,Pardee RAND Graduate School,Santa Monica,California
432,Shasta School of Cosmetology,Redding,California
433,University of Redlands,Redlands,California
434,College of the Redwoods,Eureka,California
435,Salon Success Academy-Upland,Upland,California
436,Salon Success Academy-Corona,Corona,California
437,Rio Hondo College,Whittier,California
438,Riverside City College,Riverside,California
439,Argosy University-San Francisco Bay Area,Alameda,California
440,Rosemead Beauty School,Rosemead,California
441,Dongguk University-Los Angeles,Los Angeles,California
442,Sacramento City College,Sacramento,California
443,Saddleback College,Mission Viejo,California
444,Samuel Merritt University,Oakland,California
445,San Diego City College,San Diego,California
446,Golf Academy of America-San Diego,Carlsbad,California
447,San Diego Mesa College,San Diego,California
448,San Diego Miramar College,San Diego,California
449,San Diego State University,San Diego,California
450,University of San Diego,San Diego,California
451,San Francisco Art Institute,San Francisco,California
452,San Francisco Conservatory of Music,San Francisco,California
453,San Francisco State University,San Francisco,California
454,San Francisco Theological Seminary,San Anselmo,California
455,University of San Francisco,San Francisco,California
456,San Joaquin College of Law,Clovis,California
457,San Joaquin Delta College,Stockton,California
458,San Joaquin Valley College-Visalia,Visalia,California
459,William Jessup University,Rocklin,California
460,San Jose City College,San Jose,California
461,San Jose State University,San Jose,California
462,College of San Mateo,San Mateo,California
463,Santa Barbara Business College-Bakersfield,Bakersfield,California
