,INSTNM,CITY,STABBR
1189,La James International College-Cedar Falls,Cedar Falls,Iowa
1190,La James International College-Johnston,Johnston,Iowa
1191,La James College of Hairstyling and Cosmetology,Mason City,Iowa
1192,La James International College-Ft Dodge,Fort Dodge,Iowa
1193,Loras College,Dubuque,Iowa
1194,Luther College,Decorah,Iowa
1195,Maharishi University of Management,Fairfield,Iowa
1196,Marshalltown Community College,Marshalltown,Iowa
1197,Mercy College of Health Sciences,Des Moines,Iowa
1198,Morningside College,Sioux City,Iowa
1199,Mount Mercy University,Cedar Rapids,Iowa
1200,Ashford University,San Diego,California
1201,North Iowa Area Community College,Mason City,Iowa
1202,University of Northern Iowa,Cedar Falls,Iowa
1203,Northwestern College,Orange City,Iowa
1204,Northeast Iowa Community College,Calmar,Iowa
1205,Northwest Iowa Community College,Sheldon,Iowa
1206,Des Moines University-Osteopathic Medical Center,Des Moines,Iowa
1207,Iowa School of Beauty-Ottumwa,Ottumwa,Iowa
1208,Palmer College of Chiropractic,Davenport,Iowa
1209,PCI Academy-Ames,Ames,Iowa
1210,Saint Ambrose University,Davenport,Iowa
1211,St Luke's College,Sioux City,Iowa
1212,La James International College-Davenport,Davenport,Iowa
1213,La James International College-Iowa City,Iowa City,Iowa
1214,Simpson College,Indianola,Iowa
1215,Southeastern Community College,West Burlington,Iowa
1216,Southwestern Community College,Creston,Iowa
1217,Capri College-Davenport,Davenport,Iowa
1218,Iowa School of Beauty-Sioux City,Sioux City,Iowa
1219,E Q School of Hair Design,Council Bluffs,Iowa
1220,Upper Iowa University,Fayette,Iowa
1221,Waldorf University,Forest City,Iowa
1222,Wartburg College,Waverly,Iowa
1223,Wartburg Theological Seminary,Dubuque,Iowa
1224,The Salon Professional Academy-Cedar Falls,Cedar Falls,Iowa
1225,Western Iowa Tech Community College,Sioux City,Iowa
1226,William Penn University,Oskaloosa,Iowa
1227,Allen County Community College,Iola,Kansas
1228,Baker University,Baldwin City,Kansas
1229,Barton County Community College,Great Bend,Kansas
1230,Benedictine College,Atchison,Kansas
1231,Bethany College,Lindsborg,Kansas
1232,Bethel College-North Newton,North Newton,Kansas
1233,Bryan University,Topeka,Kansas
1234,Butler Community College,El Dorado,Kansas
1235,Central Christian College of Kansas,McPherson,Kansas
1236,Cloud County Community College,Concordia,Kansas
1237,Coffeyville Community College,Coffeyville,Kansas
1238,Colby Community College,Colby,Kansas
1239,Cowley County Community College,Arkansas City,Kansas
1240,Dodge City Community College,Dodge City,Kansas
1241,Donnelly College,Kansas City,Kansas
1242,Emporia State University,Emporia,Kansas
1243,Flint Hills Technical College,Emporia,Kansas
1244,Fort Hays State University,Hays,Kansas
1245,Barclay College,Haviland,Kansas
1246,Friends University,Wichita,Kansas
1247,Fort Scott Community College,Fort Scott,Kansas
1248,Garden City Community College,Garden City,Kansas
1249,Haskell Indian Nations University,Lawrence,Kansas
1250,Hays Academy of Hair Design,Hays,Kansas
1251,Hesston College,Hesston,Kansas
1252,Highland Community College,Highland,Kansas
1253,Hutchinson Community College,Hutchinson,Kansas
1254,Independence Community College,Independence,Kansas
1255,Johnson County Community College,Overland Park,Kansas
1256,Concorde Career College-Kansas City,Kansas City,Missouri
1257,Kansas City Kansas Community College,Kansas City,Kansas
1258,Kansas Christian College,Overland Park,Kansas
1259,University of Kansas,Lawrence,Kansas
1260,Newman University,Wichita,Kansas
1261,Old Town Barber College-Wichita,Wichita,Kansas
1262,Kansas State University,Manhattan,Kansas
1263,Kansas Wesleyan University,Salina,Kansas
1264,Washburn Institute of Technology,Topeka,Kansas
1265,Labette Community College,Parsons,Kansas
1266,Manhattan Area Technical College,Manhattan,Kansas
1267,Manhattan Christian College,Manhattan,Kansas
1268,McPherson College,McPherson,Kansas
1269,MidAmerica Nazarene University,Olathe,Kansas
1270,Neosho County Community College,Chanute,Kansas
1271,North Central Kansas Technical College,Beloit,Kansas
1272,Northwest Kansas Technical College,Goodland,Kansas
1273,Ottawa University-Ottawa,Ottawa,Kansas
1274,Ottawa University-Kansas City,Overland Park,Kansas
1275,Pittsburg State University,Pittsburg,Kansas
1276,Pratt Community College,Pratt,Kansas
1277,University of Saint Mary,Leavenworth,Kansas
1278,Salina Area Technical College,Salina,Kansas
1279,Seward County Community College,Liberal,Kansas
1280,Southwestern College,Winfield,Kansas
1281,Sterling College,Sterling,Kansas
1282,Tabor College,Hillsboro,Kansas
1283,Washburn University,Topeka,Kansas
1284,Wichita State University-Campus of Applied Sciences and Technology,Wichita,Kansas
1285,Wichita State University,Wichita,Kansas
1286,Wichita Technical Institute,Wichita,Kansas
1287,Alice Lloyd College,Pippa Passes,Kentucky
1288,Asbury University,Wilmore,Kentucky
1289,Asbury Theological Seminary,Wilmore,Kentucky
1290,Ashland Community and Technical College,Ashland,Kentucky
1291,Barrett and Company School of Hair Design,Nicholasville,Kentucky
1292,Bellarmine University,Louisville,Kentucky
1293,Berea College,Berea,Kentucky
1294,PJ's College of Cosmetology-Bowling Green,Bowling Green,Kentucky
1295,Southcentral Kentucky Community and Technical College,Bowling Green,Kentucky
1296,Brescia University,Owensboro,Kentucky
1297,Campbellsville University,Campbellsville,Kentucky
1298,Bluegrass Community and Technical College,Lexington,Kentucky
1299,Centre College,Danville,Kentucky
1300,Clear Creek Baptist Bible College,Pineville,Kentucky
1301,Paul Mitchell the School-Lexington,Lexington,Kentucky
1302,Galen College of Nursing-Louisville,Louisville,Kentucky
1303,University of the Cumberlands,Williamsburg,Kentucky
1304,Eastern Kentucky University,Richmond,Kentucky
1305,Elizabethtown Community and Technical College,Elizabethtown,Kentucky
1306,Frontier Nursing University,Hyden,Kentucky
1307,Georgetown College,Georgetown,Kentucky
1308,PJ's College of Cosmetology-Glasgow,Glasgow,Kentucky
1309,Hazard Community and Technical College,Hazard,Kentucky
1310,Paul Mitchell the School-Louisville,Louisville,Kentucky
1311,Henderson Community College,Henderson,Kentucky
1312,Hopkinsville Community College,Hopkinsville,Kentucky
1313,Jefferson Community and Technical College,Louisville,Kentucky
1314,Summit Salon Academy-Lexington,Lexington,Kentucky
1315,American National University-Lexington,Lexington,Kentucky
1316,Kentucky Mountain Bible College,Jackson,Kentucky
1317,Kentucky State University,Frankfort,Kentucky
1318,Kentucky Wesleyan College,Owensboro,Kentucky
1319,University of Kentucky,Lexington,Kentucky
1320,Kentucky Christian University,Grayson,Kentucky
1321,Lexington Theological Seminary,Lexington,Kentucky
1322,Lindsey Wilson College,Columbia,Kentucky
1323,Sullivan College of Technology and Design,Louisville,Kentucky
1324,University of Louisville,Louisville,Kentucky
1325,Louisville Presbyterian Theological Seminary,Louisville,Kentucky
1326,Madisonville Community College,Madisonville,Kentucky
1327,Maysville Community and Technical College,Maysville,Kentucky
1328,Midway University,Midway,Kentucky
1329,Morehead State University,Morehead,Kentucky
1330,Murray State University,Murray,Kentucky
1331,Gateway Community and Technical College,Florence,Kentucky
1332,Northern Kentucky University,Highland Heights,Kentucky
1333,Daymar College-Owensboro,Owensboro,Kentucky
1334,West Kentucky Community and Technical College,Paducah,Kentucky
1335,University of Pikeville,Pikeville,Kentucky
1336,Big Sandy Community and Technical College,Prestonsburg,Kentucky
1337,Brown Mackie College-Louisville,Louisville,Kentucky
1338,Empire Beauty School-Chenoweth,Louisville,Kentucky
1339,Empire Beauty School-Elizabethtown,Elizabethtown,Kentucky
1340,Empire Beauty School-Dixie,Louisville,Kentucky
1341,Empire Beauty School-Florence,Florence,Kentucky
1342,Somerset Community College,Somerset,Kentucky
1343,Southeast Kentucky Community and Technical College,Cumberland,Kentucky
1344,The Southern Baptist Theological Seminary,Louisville,Kentucky
1345,Spalding University,Louisville,Kentucky
1346,Spencerian College-Louisville,Louisville,Kentucky
1347,Sullivan University,Louisville,Kentucky
1348,Thomas More College,Crestview Hills,Kentucky
1349,Transylvania University,Lexington,Kentucky
1350,Trend Setters' Academy of Beauty Culture-Louisville,Louisville,Kentucky
1351,Union College,Barbourville,Kentucky
1352,Western Kentucky University,Bowling Green,Kentucky
1353,Central Louisiana Technical Community College,Alexandria,Louisiana
1354,Ayers Career College,Shreveport,Louisiana
1355,Baton Rouge General Medical Center-School of Nursing,Baton Rouge,Louisiana
1356,Baton Rouge School of Computers,Baton Rouge,Louisiana
1357,Bossier Parish Community College,Bossier City,Louisiana
1358,Cameron College,New Orleans,Louisiana
1359,Centenary College of Louisiana,Shreveport,Louisiana
1360,Cloyd's Beauty School 1 Inc,West Monroe,Louisiana
1361,Crescent City Bartending School,New Orleans,Louisiana
1362,D'Jay's Institute of Cosmetology and Esthiology,Baton Rouge,Louisiana
1363,Delgado Community College,New Orleans,Louisiana
1364,Delta School of Business and Technology,Lake Charles,Louisiana
1365,Avery James School of Cosmetology,Lake Charles,Louisiana
1366,Denham Springs Beauty School,Denham Springs,Louisiana
1367,Dillard University,New Orleans,Louisiana
1368,Nunez Community College,Chalmette,Louisiana
1369,Grambling State University,Grambling,Louisiana
1370,Guy's Shreveport Academy of Cosmetology Inc,Shreveport,Louisiana
1371,ITI Technical College,Baton Rouge,Louisiana
1372,John Jay Beauty College,New Orleans,Louisiana
1373,John Jay Beauty College,Kenner,Louisiana
1374,Louisiana State University Health Sciences Center-New Orleans,New Orleans,Louisiana
1375,Louisiana State University-Alexandria,Alexandria,Louisiana
1376,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,Louisiana
1377,Louisiana State University-Eunice,Eunice,Louisiana
1378,Louisiana State University-Shreveport,Shreveport,Louisiana
1379,Aveda Institute-Baton Rouge,Baton Rouge,Louisiana
1380,Aveda Institute-Lafayette,Lafayette,Louisiana
1381,Louisiana Academy of Beauty,Eunice,Louisiana
1382,Louisiana College,Pineville,Louisiana
1383,Opelousas School of Cosmetology,Opelousas,Louisiana
1384,Louisiana Tech University,Ruston,Louisiana
1385,Loyola University New Orleans,New Orleans,Louisiana
1386,McNeese State University,Lake Charles,Louisiana
1387,University of New Orleans,New Orleans,Louisiana
1388,New Orleans Baptist Theological Seminary,New Orleans,Louisiana
1389,Nicholls State University,Thibodaux,Louisiana
1390,University of Louisiana at Monroe,Monroe,Louisiana
1391,Northwest Louisiana Technical College,Minden,Louisiana
1392,Notre Dame Seminary Graduate School of Theology,New Orleans,Louisiana
1393,Northwestern State University of Louisiana,Natchitoches,Louisiana
1394,University of Holy Cross,New Orleans,Louisiana
1395,Franciscan Missionaries of Our Lady University,Baton Rouge,Louisiana
1396,Pat Goins Benton Road Beauty School,Bossier City,Louisiana
1397,Celebrity Stylist Beauty School,Monroe,Louisiana
1398,Pat Goins Ruston Beauty School,Ruston,Louisiana
1399,Pineville Beauty School,Pineville,Louisiana
1400,Aveda Institute-Covington,Covington,Louisiana
1401,Saint Joseph Seminary College,St. Benedict,Louisiana
1402,Vanguard College of Cosmetology-Slidell,Slidell,Louisiana
1403,South Louisiana Beauty College,Houma,Louisiana
1404,Fletcher Technical Community College,Schriever,Louisiana
1405,Remington College-Lafayette Campus,Lafayette,Louisiana
1406,SOWELA Technical Community College,Lake Charles,Louisiana
1407,Stevensons Academy of Hair Design,New Orleans,Louisiana
1408,Southeastern Louisiana University,Hammond,Louisiana
1409,Southern University and A & M College,Baton Rouge,Louisiana
1410,Southern University at New Orleans,New Orleans,Louisiana
1411,Southern University at Shreveport,Shreveport,Louisiana
1412,University of Louisiana at Lafayette,Lafayette,Louisiana
1413,Northshore Technical Community College,Lacombe,Louisiana
1414,Tulane University of Louisiana,New Orleans,Louisiana
1415,Xavier University of Louisiana,New Orleans,Louisiana
1416,South Central Louisiana Technical College,Morgan City,Louisiana
1417,Purdue University Global-Lewiston,Lewiston,Maine
1418,College of the Atlantic,Bar Harbor,Maine
1419,Bates College,Lewiston,Maine
1420,Beal College,Bangor,Maine
1421,Bowdoin College,Brunswick,Maine
1422,Maine College of Health Professions,Lewiston,Maine
1423,Central Maine Community College,Auburn,Maine
1424,Colby College,Waterville,Maine
1425,Eastern Maine Community College,Bangor,Maine
1426,Kennebec Valley Community College,Fairfield,Maine
1427,The Landing School,Arundel,Maine
1428,University of Maine at Augusta,Augusta,Maine
1429,University of Maine at Farmington,Farmington,Maine
1430,University of Maine at Fort Kent,Fort Kent,Maine
1431,University of Maine at Machias,Machias,Maine
1432,University of Maine,Orono,Maine
1433,Maine Maritime Academy,Castine,Maine
1434,University of Maine at Presque Isle,Presque Isle,Maine
1435,University of New England,Biddeford,Maine
1436,Northern Maine Community College,Presque Isle,Maine
1437,Empire Beauty School-Maine,Portland,Maine
1438,Maine College of Art,Portland,Maine
1439,Saint Joseph's College of Maine,Standish,Maine
1440,Spa Tech Institute-Westbrook,Westbrook,Maine
1441,Southern Maine Community College,South Portland,Maine
1442,University of Southern Maine,Portland,Maine
1443,Thomas College,Waterville,Maine
1444,Unity College,Unity,Maine
1445,Washington County Community College,Calais,Maine
1446,Aesthetics Institute of Cosmetology,Gaithersburg,Maryland
1447,Allegany College of Maryland,Cumberland,Maryland
1448,Anne Arundel Community College,Arnold,Maryland
1449,Brightwood College-Towson,Towson,Maryland
1450,Award Beauty School,Hagerstown,Maryland
1451,Baltimore Studio of Hair Design,Baltimore,Maryland
1452,Baltimore City Community College,Baltimore,Maryland
1453,University of Baltimore,Baltimore,Maryland
1454,Bowie State University,Bowie,Maryland
1455,Capitol Technology University,Laurel,Maryland
1456,Cecil College,North East,Maryland
1457,College of Southern Maryland,La Plata,Maryland
1458,Chesapeake College,Wye Mills,Maryland
1459,Washington Adventist University,Takoma Park,Maryland
1460,Coppin State University,Baltimore,Maryland
1461,Delmarva Beauty Academy,Salisbury,Maryland
1462,North American Trade Schools,Baltimore,Maryland
1463,Frederick Community College,Frederick,Maryland
1464,Frostburg State University,Frostburg,Maryland
1465,Garrett College,McHenry,Maryland
1466,Goucher College,Baltimore,Maryland
1467,Purdue University Global-Hagerstown,Hagerstown,Maryland
1468,Hagerstown Community College,Hagerstown,Maryland
1469,Harford Community College,Bel Air,Maryland
1470,Hood College,Frederick,Maryland
1471,Howard Community College,Columbia,Maryland
1472,Aveda Institute-Maryland,Bel Air,Maryland
1473,Johns Hopkins University,Baltimore,Maryland
1474,Lincoln College of Technology-Columbia,Columbia,Maryland
1475,Loyola University Maryland,Baltimore,Maryland
1476,University of Maryland-University College,Adelphi,Maryland
1477,University of Maryland Baltimore,Baltimore,Maryland
1478,University of Maryland-Baltimore County,Baltimore,Maryland
1479,University of Maryland-College Park,College Park,Maryland
1480,Maryland Institute College of Art,Baltimore,Maryland
1481,University of Maryland Eastern Shore,Princess Anne,Maryland
1482,Fortis Institute-Towson,Towson,Maryland
1483,Montgomery Beauty School,Silver Spring,Maryland
1484,Montgomery College,Rockville,Maryland
1485,Morgan State University,Baltimore,Maryland
1486,Mount St. Mary's University,Emmitsburg,Maryland
1487,Ner Israel Rabbinical College,Baltimore,Maryland
1488,Hair Academy Inc-New Carrollton,New Carrollton,Maryland
1489,Notre Dame of Maryland University,Baltimore,Maryland
1490,Prince George's Community College,Largo,Maryland
1491,Brightwood College-Baltimore,Baltimore,Maryland
1492,Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,Maryland
1493,Maryland Beauty Academy of Essex,Baltimore,Maryland
1494,Salisbury University,Salisbury,Maryland
1495,St. Mary's College of Maryland,St. Mary's City,Maryland
1496,St. John's College,Annapolis,Maryland
1497,Brightwood College-Beltsville,Beltsville,Maryland
1498,Towson University,Towson,Maryland
1499,Maryland University of Integrative Health,Laurel,Maryland
1500,United States Naval Academy,Annapolis,Maryland
1501,Stevenson University,Stevenson,Maryland
1502,Washington College,Chestertown,Maryland
1503,McDaniel College,Westminster,Maryland
1504,Wor-Wic Community College,Salisbury,Maryland
1505,Hult International Business School,Cambridge,Massachusetts
1506,New England College of Business and Finance,Boston,Massachusetts
1507,American International College,Springfield,Massachusetts
1508,Amherst College,Amherst,Massachusetts
1509,Andover Newton Theological School,Lexington,Massachusetts
1510,Anna Maria College,Paxton,Massachusetts
1511,Assabet Valley Regional Technical School,Marlborough,Massachusetts
1512,Assumption College,Worcester,Massachusetts
1513,Babson College,Babson Park,Massachusetts
1514,Bancroft School of Massage Therapy,Worcester,Massachusetts
1515,Boston Baptist College,Boston,Massachusetts
1516,Bay Path University,Longmeadow,Massachusetts
1517,Bay State College,Boston,Massachusetts
1518,Bay State School of Technology,Canton,Massachusetts
1519,Becker College,Worcester,Massachusetts
1520,Bentley University,Waltham,Massachusetts
1521,Berklee College of Music,Boston,Massachusetts
1522,Berkshire Community College,Pittsfield,Massachusetts
1523,Empire Beauty School-Boston,Boston,Massachusetts
1524,Boston Architectural College,Boston,Massachusetts
1525,Boston Graduate School of Psychoanalysis Inc,Brookline,Massachusetts
1526,Boston College,Chestnut Hill,Massachusetts
1527,Boston University,Boston,Massachusetts
1528,Brandeis University,Waltham,Massachusetts
1529,Bridgewater State University,Bridgewater,Massachusetts
1530,Bristol Community College,Fall River,Massachusetts
1531,Signature Healthcare Brockton Hospital School of Nursing,Brockton,Massachusetts
1532,Bunker Hill Community College,Boston,Massachusetts
1533,Cambridge College,Boston,Massachusetts
1534,Cape Cod Community College,West Barnstable,Massachusetts
1535,Catherine Hinds Institute of Esthetics,Woburn,Massachusetts
1536,Laboure College,Milton,Massachusetts
1537,Clark University,Worcester,Massachusetts
1538,Conway School of Landscape Design,Northampton,Massachusetts
1539,Curry College,Milton,Massachusetts
1540,Lincoln Technical Institute-Somerville,Somerville,Massachusetts
1541,Dean College,Franklin,Massachusetts
1542,Diman Regional Technical Institute,Fall River,Massachusetts
1543,National Aviation Academy of New England,Concord,Massachusetts
1544,Eastern Nazarene College,Quincy,Massachusetts
1545,Emerson College,Boston,Massachusetts
1546,Emmanuel College,Boston,Massachusetts
1547,Endicott College,Beverly,Massachusetts
1548,Rob Roy Academy-Fall River,Fall River,Massachusetts
1549,Fisher College,Boston,Massachusetts
1550,Fitchburg State University,Fitchburg,Massachusetts
1551,Framingham State University,Framingham,Massachusetts
1552,Benjamin Franklin Institute of Technology,Boston,Massachusetts
1553,Gordon College,Wenham,Massachusetts
1554,Gordon-Conwell Theological Seminary,South Hamilton,Massachusetts
1555,Greenfield Community College,Greenfield,Massachusetts
1556,Hampshire College,Amherst,Massachusetts
1557,Harvard University,Cambridge,Massachusetts
1558,Hebrew College,Newton Centre,Massachusetts
1559,Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,Massachusetts
1560,College of the Holy Cross,Worcester,Massachusetts
1561,Holyoke Community College,Holyoke,Massachusetts
1562,Lasell College,Newton,Massachusetts
1563,Lawrence Memorial Hospital School of Nursing,Medford,Massachusetts
1564,Lesley University,Cambridge,Massachusetts
1565,Longy School of Music of Bard College,Cambridge,Massachusetts
1566,Lowell Academy Hairstyling Institute,Lowell,Massachusetts
1567,University of Massachusetts-Lowell,Lowell,Massachusetts
1568,Mansfield Beauty Schools-Springfield,Springfield,Massachusetts
1569,Mansfield Beauty Schools-Quincy,Quincy,Massachusetts
1570,University of Massachusetts-Amherst,Amherst,Massachusetts
1571,University of Massachusetts-Boston,Boston,Massachusetts
1572,Massachusetts Bay Community College,Wellesley Hills,Massachusetts
1573,MCPHS University,Boston,Massachusetts
1574,Massachusetts College of Art and Design,Boston,Massachusetts
1575,Massachusetts Institute of Technology,Cambridge,Massachusetts
1576,Massachusetts Maritime Academy,Buzzards Bay,Massachusetts
1577,University of Massachusetts Medical School Worcester,Worcester,Massachusetts
1578,William James College,Newton,Massachusetts
1579,Massachusetts School of Barbering,Quincy,Massachusetts
1580,Massasoit Community College,Brockton,Massachusetts
1581,Merrimack College,North Andover,Massachusetts
1582,MGH Institute of Health Professions,Boston,Massachusetts
1583,Middlesex Community College,Bedford,Massachusetts
1584,Montserrat College of Art,Beverly,Massachusetts
1585,Mount Holyoke College,South Hadley,Massachusetts
1586,Mount Ida College,Newton,Massachusetts
1587,Mount Wachusett Community College,Gardner,Massachusetts
1588,Rob Roy Academy-New Bedford,New Bedford,Massachusetts
1589,The New England Conservatory of Music,Boston,Massachusetts
1590,New England College of Optometry,Boston,Massachusetts
1591,New England Law-Boston,Boston,Massachusetts
1592,New England School of Photography,Waltham,Massachusetts
1593,Newbury College,Brookline,Massachusetts
1594,Nichols College,Dudley,Massachusetts
1595,Massachusetts College of Liberal Arts,North Adams,Massachusetts
1596,North Bennet Street School,Boston,Massachusetts
1597,North Shore Community College,Danvers,Massachusetts
1598,Northeastern University,Boston,Massachusetts
1599,Northern Essex Community College,Haverhill,Massachusetts
1600,College of Our Lady of the Elms,Chicopee,Massachusetts
1601,Pine Manor College,Chestnut Hill,Massachusetts
1602,Pope St John XXIII National Seminary,Weston,Massachusetts
1603,Quincy College,Quincy,Massachusetts
1604,Quinsigamond Community College,Worcester,Massachusetts
1605,Regis College,Weston,Massachusetts
1606,Roxbury Community College,Roxbury Crossing,Massachusetts
1607,Saint John's Seminary,Brighton,Massachusetts
1608,Salem State University,Salem,Massachusetts
1609,Salter College-West Boylston,West Boylston,Massachusetts
1610,Simmons University,Boston,Massachusetts
1611,Bard College at Simon's Rock,Great Barrington,Massachusetts
1612,Smith College,Northampton,Massachusetts
1613,Southeastern Technical Institute,South Easton,Massachusetts
1614,Springfield College,Springfield,Massachusetts
1615,Springfield Technical Community College,Springfield,Massachusetts
1616,University of Massachusetts-Dartmouth,North Dartmouth,Massachusetts
1617,Stonehill College,Easton,Massachusetts
1618,Suffolk University,Boston,Massachusetts
1619,Rob Roy Academy-Taunton,Taunton,Massachusetts
1620,Tufts University,Medford,Massachusetts
1621,Wellesley College,Wellesley,Massachusetts
1622,Wentworth Institute of Technology,Boston,Massachusetts
1623,Western New England University,Springfield,Massachusetts
1624,Westfield State University,Westfield,Massachusetts
1625,Wheaton College,Norton,Massachusetts
1626,Wheelock College,Boston,Massachusetts
1627,Williams College,Williamstown,Massachusetts
1628,Worcester Polytechnic Institute,Worcester,Massachusetts
1629,Worcester State University,Worcester,Massachusetts
1630,Adrian College,Adrian,Michigan
1631,Albion College,Albion,Michigan
1632,Hillsdale Beauty College,Hillsdale,Michigan
1633,Northwestern Technological Institute,Southfield,Michigan
1634,Alma College,Alma,Michigan
1635,Alpena Community College,Alpena,Michigan
1636,Andrews University,Berrien Springs,Michigan
1637,Aquinas College,Grand Rapids,Michigan
1638,Baker College,Flint,Michigan
1639,Bay de Noc Community College,Escanaba,Michigan
1640,Bayshire Academy of Beauty Craft Inc,Bay City,Michigan
1641,Cadillac Institute of Cosmetology,Cadillac,Michigan
1642,Calvin College,Grand Rapids,Michigan
1643,Calvin Theological Seminary,Grand Rapids,Michigan
1644,Carnegie Institute,Troy,Michigan
1645,Michigan School of Psychology,Farmington Hills,Michigan
1646,Central Michigan University,Mount Pleasant,Michigan
1647,Mott Community College,Flint,Michigan
1648,Empire Beauty School-Michigan,Grand Rapids,Michigan
1649,Cleary University,Howell,Michigan
1650,Concordia University-Ann Arbor,Ann Arbor,Michigan
1651,Cranbrook Academy of Art,Bloomfield Hills,Michigan
1652,College for Creative Studies,Detroit,Michigan
1653,Davenport University,Grand Rapids,Michigan
1654,David Pressley School of Cosmetology,Royal Oak,Michigan
1655,Delta College,University Center,Michigan
1656,Detroit Business Institute-Downriver,Riverview,Michigan
1657,Michigan State University-College of Law,East Lansing,Michigan
1658,MIAT College of Technology,Canton,Michigan
1659,University of Detroit Mercy,Detroit,Michigan
1660,Dorsey Business Schools-Madison Heights,Madison Heights,Michigan
1661,Dorsey Business Schools-Southgate,Southgate,Michigan
1662,Eastern Michigan University,Ypsilanti,Michigan
1663,Creative Hair School of Cosmetology,Flint,Michigan
1664,Ferris State University,Big Rapids,Michigan
1665,Flint Institute of Barbering Inc,Flint,Michigan
1666,Glen Oaks Community College,Centreville,Michigan
1667,Kettering University,Flint,Michigan
1668,Gogebic Community College,Ironwood,Michigan
1669,Grace Christian University,Wyoming,Michigan
1670,Cornerstone University,Grand Rapids,Michigan
1671,Grand Rapids Community College,Grand Rapids,Michigan
1672,Grand Valley State University,Allendale,Michigan
1673,Great Lakes Christian College,Lansing,Michigan
1674,Henry Ford College,Dearborn,Michigan
1675,Hillsdale College,Hillsdale,Michigan
1676,Hope College,Holland,Michigan
1677,Jackson College,Jackson,Michigan
1678,Kalamazoo College,Kalamazoo,Michigan
1679,Kalamazoo Valley Community College,Kalamazoo,Michigan
1680,Kellogg Community College,Battle Creek,Michigan
1681,Kirtland Community College,Roscommon,Michigan
1682,Michigan College of Beauty-Monroe,Monroe,Michigan
1683,Lake Michigan College,Benton Harbor,Michigan
1684,Lake Superior State University,Sault Ste Marie,Michigan
1685,Lansing Community College,Lansing,Michigan
1686,Lawrence Technological University,Southfield,Michigan
1687,M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,Michigan
1688,Macomb Community College,Warren,Michigan
1689,Madonna University,Livonia,Michigan
1690,Marygrove College,Detroit,Michigan
1691,Rochester College,Rochester Hills,Michigan
1692,University of Michigan-Ann Arbor,Ann Arbor,Michigan
1693,Michigan Barber School Inc,Detroit,Michigan
1694,Michigan State University,East Lansing,Michigan
1695,Michigan Technological University,Houghton,Michigan
1696,University of Michigan-Dearborn,Dearborn,Michigan
1697,University of Michigan-Flint,Flint,Michigan
1698,Mid Michigan College,Harrison,Michigan
1699,Monroe County Community College,Monroe,Michigan
1700,Montcalm Community College,Sidney,Michigan
1701,Mr Bela's School of Cosmetology Inc,Warren,Michigan
1702,Muskegon Community College,Muskegon,Michigan
1703,Altierus Career Education-Southfield,Southfield,Michigan
1704,North Central Michigan College,Petoskey,Michigan
1705,Northern Michigan University,Marquette,Michigan
1706,Northwestern Michigan College,Traverse City,Michigan
1707,Northwood University,Midland,Michigan
1708,Oakland Community College,Bloomfield Hills,Michigan
1709,Oakland University,Rochester Hills,Michigan
1710,Olivet College,Olivet,Michigan
1711,Port Huron Cosmetology College,Waterford,Michigan
1712,Kuyper College,Grand Rapids,Michigan
1713,Ross Medical Education Center-Lansing,Lansing,Michigan
1714,Ross Medical Education Center-Madison Heights,Madison Heights,Michigan
1715,Ross Medical Education Center-Flint,Flint,Michigan
1716,Sacred Heart Major Seminary,Detroit,Michigan
1717,Saginaw Valley State University,University Center,Michigan
1718,Schoolcraft College,Livonia,Michigan
1719,Siena Heights University,Adrian,Michigan
1720,St Clair County Community College,Port Huron,Michigan
1721,Southwestern Michigan College,Dowagiac,Michigan
1722,Specs Howard School of Media Arts,Southfield,Michigan
1723,Spring Arbor University,Spring Arbor,Michigan
1724,Michigan Career and Technical Institute,Plainwell,Michigan
1725,Finlandia University,Hancock,Michigan
1726,Western Michigan University-Thomas M. Cooley Law School,Lansing,Michigan
1727,Twin City Beauty College,Saint Joseph,Michigan
1728,Walsh College,Troy,Michigan
1729,Washtenaw Community College,Ann Arbor,Michigan
1730,Wayne County Community College District,Detroit,Michigan
1731,Wayne State University,Detroit,Michigan
1732,West Shore Community College,Scottville,Michigan
1733,Paul Mitchell the School-Grand Rapids,Kentwood,Michigan
1734,Western Michigan University,Kalamazoo,Michigan
1735,Western Theological Seminary,Holland,Michigan
1736,Wright Beauty Academy,Battle Creek,Michigan
1737,Academy College,Bloomington,Minnesota
1738,Alexandria Technical & Community College,Alexandria,Minnesota
1739,American Indian OIC Inc,Minneapolis,Minnesota
1740,Anoka Technical College,Anoka,Minnesota
1741,Anoka-Ramsey Community College,Coon Rapids,Minnesota
1742,Augsburg University,Minneapolis,Minnesota
1743,Riverland Community College,Austin,Minnesota
1744,Northwest Technical College,Bemidji,Minnesota
1745,Bemidji State University,Bemidji,Minnesota
1746,Bethany Lutheran College,Mankato,Minnesota
1747,Bethel University,Saint Paul,Minnesota
1748,Bethel Seminary-St Paul,Saint Paul,Minnesota
1749,Central Lakes College-Brainerd,Brainerd,Minnesota
1750,Carleton College,Northfield,Minnesota
1751,Concordia College at Moorhead,Moorhead,Minnesota
